pan,name,date,rosette,cauline,days
1,A1-1-1,7,11,6,46
1,A1-1-3,28,7,4,37
1,A1-1-4,28,7,4,37
1,A1-1-5,24,10,4,33
1,A1-1-6,23,6,3,32
1,A1-1-7,27,9,4,36
1,A1-1-8,8,14,6,47
1,A1-2-1,23,5,3,32
1,A1-2-2,23,8,5,32
1,A1-2-3,30,12,7,39
1,A1-2-4,29,7,5,38
1,A1-2-5,9,19,6,48
1,A1-2-7,27,10,4,36
1,A1-2-8,2,12,7,41
1,A1-3-1,4,13,7,43
1,A1-3-2,30,7,4,39
1,A1-3-3,2,9,5,41
1,A1-3-4,23,8,3,32
1,A1-3-5,16,5,2,25
1,A1-3-6,20,7,2,29
1,A1-3-8,3,14,8,42
1,A1-4-1,21,4,2,30
1,A1-4-2,22,6,5,31
1,A1-4-3,22,6,5,31
1,A1-4-4,27,7,4,36
1,A1-4-5,25,6,3,34
1,A1-4-7,16,5,2,25
1,A1-5-1,20,5,3,29
1,A1-5-2,25,6,2,34
1,A1-5-3,9,16,7,48
1,A1-5-5,27,5,3,36
1,A1-5-6,16,4,3,25
1,A1-6-3,4,13,6,43
1,A1-6-5,21,5,2,30
1,A1-6-6,2,7,4,41
1,A1-6-7,25,6,3,34
1,A1-7-1,7,17,8,46
1,A1-7-2,21,7,4,30
1,A1-7-3,4,8,5,43
1,A1-7-5,16,5,4,25
1,A1-7-7,29,9,4,38
1,A1-7-8,11,11,6,20
1,A1-8-2,25,11,4,34
1,A1-8-3,18,5,2,27
1,A1-8-5,25,10,5,34
1,A1-8-7,27,7,2,36
1,A1-9-2,27,9,5,36
1,A1-9-3,27,7,5,36
1,A1-9-5,24,7,4,33
1,A1-9-6,20,5,2,29
1,A1-9-7,16,4,4,25
1,A1-9-8,21,6,2,30
1,A1-10-2,16,5,3,25
1,A1-10-3,20,4,2,29
1,A1-11-1,7,9,6,46
1,A1-11-3,25,4,3,34
1,A1-11-4,24,7,4,33
1,A1-11-5,18,5,2,27
1,A1-11-6,27,5,2,36
